Vehicle ID,Service Date,Mileage,Service Center,Service Type,Cost,Notes,Technician Name,Parts Replaced
MH01AB1234,2018-05-15,5000,AutoCare Mumbai,Initial Service,150.00,"First service after purchase",Rajesh Kumar,"Oil filter, Engine oil"
MH01AB1234,2018-11-20,15000,AutoCare Mumbai,Oil Change,45.00,"Regular maintenance",Rajesh Kumar,"Engine oil, Oil filter"
MH01AB1234,2019-06-10,25000,QuickService Mumbai,Full Service,280.00,"Annual service completed",Amit Singh,"Oil, filters, inspection"
MH01AB1234,2020-01-15,35000,Mumbai Auto Works,Brake Service,195.00,"Brake pads replacement",Vikram Patel,"Front brake pads, brake fluid"
MH01AB1234,2020-08-22,45000,AutoCare Mumbai,Full Service,320.00,"Comprehensive check-up",Rajesh Kumar,"Oil, filters, spark plugs"
MH01AB1234,2021-03-10,55000,QuickService Mumbai,Tire Rotation,65.00,"Seasonal tire maintenance",Amit Singh,"Tire rotation service"
MH01AB1234,2021-10-18,65000,Mumbai Auto Works,Full Service,350.00,"Major service interval",Vikram Patel,"Oil, filters, belts inspection"
MH01AB1234,2022-05-25,75000,AutoCare Mumbai,Transmission Service,420.00,"Fluid change and filter",Rajesh Kumar,"Transmission fluid, filter"
MH01AB1234,2023-01-10,85000,QuickService Mumbai,Full Service,380.00,"Mid-year maintenance",Amit Singh,"Oil, filters, comprehensive check"
MH01AB1234,2024-01-10,44900,AutoCare Mumbai,Regular Maintenance,2500.00,"Latest service",Rajesh Kumar,"Comprehensive service with inspection"
DL02CD5678,2019-07-15,3000,QuickService Delhi,Initial Service,150.00,"First service after purchase",Priya Sharma,"Oil filter, Engine oil"
DL02CD5678,2020-01-20,12000,QuickService Delhi,Oil Change,45.00,"Regular maintenance",Priya Sharma,"Engine oil, Oil filter"
DL02CD5678,2020-09-10,22000,Delhi Auto Center,Full Service,280.00,"Annual service completed",Rahul Verma,"Oil, filters, inspection"
DL02CD5678,2021-04-22,32000,QuickService Delhi,Brake Service,195.00,"Brake pads replacement",Priya Sharma,"Front brake pads, brake fluid"
DL02CD5678,2022-02-15,42000,Delhi Auto Center,Full Service,320.00,"Comprehensive check-up",Rahul Verma,"Oil, filters, spark plugs"
DL02CD5678,2022-10-30,52000,QuickService Delhi,Tire Replacement,8000.00,"All four tires replaced",Priya Sharma,"4x Michelin tires"
KA03EF9012,2020-09-10,5000,Bangalore Auto Works,Initial Service,150.00,"First service after purchase",Amit Reddy,"Oil filter, Engine oil"
KA03EF9012,2021-03-15,15000,Bangalore Auto Works,Oil Change,45.00,"Regular maintenance",Amit Reddy,"Engine oil, Oil filter"
KA03EF9012,2021-11-20,25000,QuickService Bangalore,Full Service,280.00,"Annual service completed",Suresh Kumar,"Oil, filters, inspection"
KA03EF9012,2022-06-22,35000,Bangalore Auto Works,Brake Service,195.00,"Brake pads replacement",Amit Reddy,"Front brake pads, brake fluid"
KA03EF9012,2023-03-05,66800,Bangalore Auto Works,Brake Service,3500.00,"Major brake overhaul",Amit Reddy,"Complete brake system service"
TN04GH3456,2017-10-15,3000,Chennai Service Center,Initial Service,150.00,"First service after purchase",Lakshmi Narayanan,"Oil filter, Engine oil"
TN04GH3456,2018-04-20,12000,Chennai Service Center,Oil Change,45.00,"Regular maintenance",Lakshmi Narayanan,"Engine oil, Oil filter"
TN04GH3456,2019-01-10,22000,QuickService Chennai,Full Service,280.00,"Annual service completed",Mohan Raj,"Oil, filters, inspection"
TN04GH3456,2019-09-22,32000,Chennai Service Center,Brake Service,195.00,"Brake pads replacement",Lakshmi Narayanan,"Front brake pads, brake fluid"
TN04GH3456,2020-06-15,42000,Chennai Service Center,Full Service,320.00,"Comprehensive check-up",Mohan Raj,"Oil, filters, spark plugs"
TN04GH3456,2021-03-20,52000,QuickService Chennai,Tire Rotation,65.00,"Seasonal tire maintenance",Lakshmi Narayanan,"Tire rotation service"
TN04GH3456,2022-01-25,62000,Chennai Service Center,Full Service,350.00,"Major service interval",Mohan Raj,"Oil, filters, belts inspection"
TN04GH3456,2023-02-10,72000,Chennai Service Center,Clutch Replacement,1200.00,"Clutch system replacement",Lakshmi Narayanan,"Clutch kit, flywheel"
TN04GH3456,2024-01-20,88900,Chennai Service Center,Regular Maintenance,2800.00,"Latest service",Lakshmi Narayanan,"Comprehensive service with inspection"
GJ05IJ7890,2021-11-15,3000,Ahmedabad Auto Care,Initial Service,150.00,"First service after purchase",Rakesh Patel,"Oil filter, Engine oil"
GJ05IJ7890,2022-05-20,12000,Ahmedabad Auto Care,Oil Change,45.00,"Regular maintenance",Rakesh Patel,"Engine oil, Oil filter"
GJ05IJ7890,2023-02-10,22000,QuickService Ahmedabad,Full Service,280.00,"Annual service completed",Sanjay Mehta,"Oil, filters, inspection"
GJ05IJ7890,2024-02-10,53900,Ahmedabad Auto Care,Oil Change,1800.00,"Latest service",Rakesh Patel,"Oil change with comprehensive check"
AP13L5733,2007-03-15,2000,AutoCare Plus,Initial Service,150.00,"First service after purchase",John Smith,"Oil filter, Engine oil"
AP13L5733,2007-06-20,5000,AutoCare Plus,Oil Change,45.00,"Regular maintenance",Mike Johnson,"Engine oil, Oil filter"
AP13L5733,2008-01-10,12000,QuickFix Auto Service,Full Service,280.00,"Annual service completed",Sarah Williams,"Oil, filters, inspection"
AP13L5733,2008-07-22,18000,ProCar Maintenance,Brake Service,195.00,"Brake pads replacement",Tom Brown,"Front brake pads, brake fluid"
AP13L5733,2009-02-14,25000,AutoCare Plus,Full Service,320.00,"Comprehensive check-up",John Smith,"Oil, filters, spark plugs"
AP13L5733,2009-09-30,32000,QuickFix Auto Service,Tire Rotation,65.00,"Seasonal tire maintenance",Mike Johnson,"Tire rotation service"
AP13L5733,2010-04-18,38000,ProCar Maintenance,Full Service,350.00,"Major service interval",Sarah Williams,"Oil, filters, belts inspection"
AP13L5733,2010-11-25,45000,AutoCare Plus,Transmission Service,420.00,"Fluid change and filter",Tom Brown,"Transmission fluid, filter"
